date,communication_services,consumer_discretionary,consumer_staples,energy,financials,health_care,industrials,information_technology,materials,utilities,sp_500
2011-04-12,95.67,117.85,187.53,324.39,85.51,137.35,149.18,56.43,187.36,155.81,2078.16
2011-04-13,95.85,118.25,187.65,325.28,84.84,137.27,148.83,56.82,186.26,156.34,2078.71
2011-04-14,95.74,117.95,188.83,327.24,84.13,137.91,148.8,56.64,186.81,157.14,2078.9
2011-04-15,95.19,118.66,189.79,330.23,84.18,139.2,149.34,56.4,188.01,158.86,2087.06
2011-04-18,94.01,117.56,188.51,325.21,83.03,137.56,147.35,56.01,185.64,157.5,2064.08
2011-04-19,93.97,117.86,188.8,328.76,83.34,138.86,148.65,56.22,188.91,157.51,2075.96
2011-04-20,95.05,119.9,189.9,335.96,83.55,140.09,150.88,57.54,191.22,159.28,2104.05
2011-04-21,95.62,120.67,189.95,338.12,84.02,140.57,151.2,58.09,193.29,159.56,2115.19
2011-04-25,95.48,120.42,189.34,336.19,83.91,140.76,150.76,58.22,192.01,159.66,2111.82
2011-04-26,96.43,120.73,190.42,340.07,84.38,142.33,153.44,58.67,194.01,161.02,2130.79
2011-04-27,97.37,122.09,191.56,340.03,84.93,143.97,154.39,58.94,194.34,162.31,2144.36
2011-04-28,98.01,122.62,193.01,339.49,85.62,144.7,154.91,58.93,194.86,163.65,2152.1
2011-04-29,98.14,122.58,193.47,344.63,85.44,144.64,155.42,58.99,195.3,163.99,2157.06
2011-05-02,98.21,122.96,193.77,340.13,85.12,146.11,155.24,58.75,194.08,164.11,2153.28
2011-05-03,98.33,122.33,194.35,332.12,85.45,145.71,154.71,58.65,192.17,165.21,2146.01
2011-05-04,97.94,121.87,194.2,326.9,84.68,145.6,152.56,58.51,188.91,164.88,2131.57
2011-05-05,97.2,121.65,192.59,319.54,83.72,144.67,151.65,58.22,186.57,163.67,2112.3
2011-05-06,97.5,121.67,193.05,320.7,84.01,145.53,152.81,58.4,187.96,164.59,2120.55
2011-05-09,97.72,121.86,193.76,325.86,83.85,146.41,153.48,58.53,190.86,164.99,2130.21
2011-05-10,98.97,123.39,194.85,327.39,84.65,147.26,154.66,59.02,192.2,167.21,2147.43
2011-05-11,97.43,122.38,194.71,318.13,83.52,146.97,153.0,58.55,187.06,166.85,2124.39
2011-05-12,97.86,123.43,197.3,317.93,83.46,148.31,153.16,58.91,187.13,168.41,2134.95
2011-05-13,97.1,122.6,197.16,316.58,82.23,148.04,151.44,58.2,184.62,167.67,2117.79
2011-05-16,95.74,120.86,197.08,314.07,82.14,148.2,150.84,57.31,183.94,167.73,2104.74
2011-05-17,96.42,121.03,197.65,313.8,82.73,148.24,148.93,57.24,181.96,168.96,2104.34
2011-05-18,97.3,122.44,198.05,320.0,83.13,149.4,150.67,57.67,185.79,168.49,2123.13
2011-05-19,97.74,122.84,199.09,320.53,83.19,149.08,151.69,57.75,185.88,168.83,2127.88
2011-05-20,97.36,121.68,198.41,319.69,81.96,147.86,150.18,57.34,184.05,168.79,2111.52
2011-05-23,96.33,120.54,197.06,314.97,80.87,146.42,148.14,56.47,182.23,166.77,2086.36
2011-05-24,96.21,119.91,196.86,319.19,80.75,145.92,147.21,56.24,183.09,166.48,2084.65
2011-05-25,96.1,119.93,195.52,323.83,80.79,146.12,148.36,56.5,185.65,166.07,2091.4
2011-05-26,96.69,120.93,195.82,325.55,81.19,146.15,148.91,56.81,185.96,165.94,2100.01
2011-05-27,97.22,121.35,196.46,326.28,81.86,146.27,149.55,57.1,187.88,166.11,2108.88
2011-05-31,98.14,122.15,198.24,329.67,82.65,148.02,151.08,58.0,189.84,167.24,2131.23
2011-06-01,96.34,119.36,196.18,322.06,79.78,145.99,146.24,56.73,184.03,165.5,2082.83
2011-06-02,96.38,119.1,193.98,321.49,79.9,145.68,146.82,56.8,184.27,165.04,2080.36
2011-06-03,94.95,117.46,192.22,321.59,79.36,144.32,144.91,56.0,181.92,163.87,2060.19
2011-06-06,94.03,116.31,191.31,315.09,77.79,143.42,143.79,55.61,180.21,163.11,2038.04
2011-06-07,93.86,116.46,190.92,314.69,77.64,143.76,143.66,55.41,180.79,163.38,2036.16
2011-06-08,93.73,115.53,190.98,316.1,76.92,143.87,142.59,54.96,179.06,163.71,2027.94
2011-06-09,94.04,116.42,191.99,320.01,77.83,145.28,143.59,55.0,181.9,163.79,2042.91
2011-06-10,92.75,114.28,189.82,314.0,77.28,142.7,141.37,54.18,179.62,162.85,2014.37
2011-06-13,92.68,114.12,190.66,309.72,78.09,143.33,141.48,54.18,178.65,163.47,2016.18
2011-06-14,93.48,116.13,192.63,315.88,78.49,144.61,144.05,54.89,182.04,164.13,2041.69
2011-06-15,92.31,114.41,189.77,308.83,76.77,142.69,141.95,53.88,177.87,162.12,2006.13
2011-06-16,92.01,114.17,191.27,309.64,77.22,142.9,142.49,53.7,176.2,163.47,2009.89
2011-06-17,92.1,114.96,192.32,308.84,77.93,143.21,143.04,53.56,176.15,164.5,2016.02
2011-06-20,92.54,115.95,193.66,309.99,77.87,144.68,144.2,53.74,177.57,165.42,2026.91
2011-06-21,93.89,118.28,193.52,315.65,78.95,145.57,146.46,54.79,182.17,165.58,2054.27
2011-06-22,93.21,117.34,192.27,314.29,78.43,144.67,145.6,54.33,181.48,164.48,2041.05
2011-06-23,92.64,117.8,190.46,310.66,77.67,144.55,145.19,54.8,181.34,163.07,2035.28
2011-06-24,91.96,116.62,189.11,304.68,77.14,142.77,143.43,53.8,180.3,163.44,2011.41
2011-06-27,93.29,118.05,189.94,306.84,78.01,143.56,144.73,54.55,180.56,164.69,2029.88
2011-06-28,94.5,120.26,190.6,315.13,78.35,145.66,146.86,55.26,183.9,165.53,2056.48
2011-06-29,95.19,120.76,191.45,318.61,80.0,145.79,147.56,55.67,186.77,166.27,2073.7
2011-06-30,96.29,121.87,193.15,323.42,80.31,146.28,150.03,56.48,189.27,166.89,2094.69
2011-07-01,97.96,124.3,194.6,326.55,81.73,148.14,152.66,57.45,190.99,168.94,2125.06
2011-07-05,98.46,124.79,194.46,328.03,81.05,147.67,151.75,57.55,191.2,167.94,2122.27
2011-07-06,98.15,124.43,195.6,327.44,80.61,148.09,152.54,57.83,191.95,168.27,2124.96
2011-07-07,98.78,126.09,196.87,331.89,81.88,147.99,154.09,58.65,194.79,168.9,2147.24
2011-07-08,97.95,125.31,196.21,329.6,80.81,147.39,152.28,58.37,193.48,168.33,2132.31
2011-07-11,96.3,122.85,194.77,322.87,78.54,145.32,149.48,57.33,189.51,166.45,2093.76
2011-07-12,96.08,122.34,194.1,321.86,78.32,145.4,147.95,56.8,188.86,167.22,2084.49
2011-07-13,96.51,122.97,194.16,324.08,78.45,145.86,148.5,56.95,190.5,166.82,2091.09
2011-07-14,95.56,122.04,193.28,322.47,77.85,145.69,147.06,56.41,188.77,166.08,2077.07
2011-07-15,97.15,122.13,193.75,330.01,77.66,144.99,147.14,57.28,190.58,166.33,2088.61
2011-07-18,96.05,120.85,192.53,328.54,76.59,143.84,145.51,57.1,188.34,164.76,2071.68
2011-07-19,97.55,123.24,195.37,334.07,77.63,145.15,147.37,58.64,190.97,166.1,2105.47
2011-07-20,96.99,122.53,194.77,332.99,78.46,144.64,147.73,58.38,190.93,167.07,2104.27
2011-07-21,98.33,123.95,196.1,339.7,80.41,146.8,149.91,58.69,193.15,169.64,2132.9
2011-07-22,98.62,124.45,195.82,341.28,80.19,146.6,148.45,59.38,192.31,168.69,2134.86
2011-07-25,97.92,123.69,193.87,339.65,79.52,145.03,148.24,59.29,191.83,169.14,2122.83
2011-07-26,98.05,123.46,193.37,337.93,79.38,143.86,145.36,59.54,189.83,168.52,2114.12
2011-07-27,96.66,121.28,191.36,331.76,77.54,141.38,141.44,57.78,185.45,167.95,2071.25
2011-07-28,95.43,120.66,191.4,329.44,77.58,141.18,140.22,57.86,185.08,166.91,2064.69
2011-07-29,94.52,120.13,190.22,325.64,77.38,140.59,139.54,57.38,182.97,165.26,2051.38
2011-08-01,94.71,119.45,189.57,325.36,77.13,138.18,138.82,57.29,182.34,165.76,2042.9
2011-08-02,92.14,115.07,187.13,316.66,74.99,135.0,134.05,56.0,177.0,163.09,1990.68
2011-08-03,93.05,115.83,188.18,314.87,75.4,135.26,135.1,56.71,177.77,162.98,2001.18
2011-08-04,88.99,110.22,182.44,293.52,71.51,130.09,127.86,54.17,165.97,157.71,1905.54
2011-08-05,88.96,110.37,185.4,293.16,70.27,131.11,127.95,53.86,165.59,159.08,1904.45
2011-08-08,83.47,103.02,178.32,268.9,63.26,124.22,119.16,50.76,153.56,150.45,1777.75
2011-08-09,87.24,108.0,182.28,281.35,68.45,128.89,124.65,53.07,162.64,155.33,1862.06
2011-08-10,83.67,103.27,175.73,271.08,63.59,123.48,118.59,50.92,157.28,152.25,1780.37
2011-08-11,86.85,107.94,181.15,285.11,67.57,129.27,123.98,53.2,165.14,158.79,1863.01
2011-08-12,87.24,109.22,182.95,287.04,66.76,130.29,126.23,53.51,166.17,157.84,1872.84
2011-08-15,88.51,110.79,185.58,296.8,68.94,132.68,128.45,54.44,168.73,163.38,1913.73
2011-08-16,87.78,110.32,185.83,291.77,67.61,132.37,126.54,53.91,166.23,162.89,1895.34
2011-08-17,88.25,110.0,187.25,293.34,68.02,132.45,126.18,53.45,166.65,164.23,1897.5
2011-08-18,84.59,104.55,183.92,276.68,64.61,128.02,119.1,50.63,156.99,162.14,1812.98
2011-08-19,83.06,103.11,182.88,272.11,63.39,127.66,117.35,49.24,154.73,160.9,1785.77
2011-08-22,83.47,103.45,183.42,270.61,62.59,127.85,117.78,49.58,154.68,160.71,1786.23
2011-08-23,86.07,107.41,187.48,283.0,64.62,131.87,121.95,51.53,159.98,163.66,1847.49
2011-08-24,87.27,109.2,188.24,284.25,66.44,133.4,124.35,51.93,162.12,167.05,1871.91
2011-08-25,85.9,107.08,185.33,277.89,66.14,131.11,122.07,51.12,160.54,164.52,1842.8
2011-08-26,86.84,109.35,186.76,282.73,66.81,132.75,124.42,52.3,163.91,164.35,1870.86
2011-08-29,88.89,112.55,190.13,290.82,69.6,136.16,128.42,53.75,168.79,167.55,1923.94
2011-08-30,89.61,113.06,190.55,291.83,69.1,136.64,129.47,53.89,170.21,167.53,1928.77
2011-08-31,89.3,113.75,191.2,293.75,69.95,137.54,130.35,53.91,170.65,168.75,1938.42
2011-09-01,88.22,112.29,190.46,291.2,68.29,136.52,128.27,53.33,168.42,167.72,1915.52
2011-09-02,86.36,109.2,187.92,283.82,65.55,133.51,124.34,52.02,164.43,165.79,1867.15
2011-09-06,85.51,108.76,187.15,280.6,64.39,133.84,122.8,51.77,163.38,164.87,1853.3
2011-09-07,87.21,111.62,190.1,290.9,67.5,137.12,126.59,53.19,167.75,166.63,1906.71
2011-09-08,86.53,110.12,189.77,287.35,65.96,135.58,124.7,52.98,165.75,166.52,1886.51
2011-09-09,84.87,107.15,185.52,278.01,63.89,131.61,121.39,51.76,160.49,163.13,1836.16
2011-09-12,85.54,108.42,185.78,279.49,64.68,132.09,121.56,52.42,159.24,164.52,1849.02
2011-09-13,86.5,109.71,186.34,280.2,65.09,133.37,123.87,53.06,161.8,165.43,1866.35
2011-09-14,87.4,111.52,188.62,283.79,65.89,134.64,126.03,53.93,164.36,166.69,1891.5
2011-09-15,88.61,113.47,191.04,289.48,67.58,135.91,128.57,54.88,167.1,168.95,1924.26
2011-09-16,89.4,114.6,192.02,289.25,67.72,136.55,129.25,55.42,167.72,170.7,1935.27
2011-09-19,88.68,114.56,190.31,285.02,65.86,135.33,127.98,55.39,165.32,169.91,1916.31
2011-09-20,88.69,113.88,190.58,283.26,65.7,136.52,127.08,55.2,163.65,172.24,1913.16
2011-09-21,86.38,110.45,187.23,271.99,62.46,132.99,121.99,54.49,156.29,169.28,1856.98
2011-09-22,83.85,106.83,183.71,257.58,60.59,130.18,117.38,52.75,147.7,166.22,1797.78
2011-09-23,84.91,108.55,183.66,255.58,61.29,130.42,118.59,53.3,147.18,167.84,1808.88
2011-09-26,86.33,110.91,186.99,264.67,63.99,132.48,121.55,53.99,151.74,169.24,1851.09
2011-09-27,87.58,111.79,188.19,268.66,64.26,134.41,123.51,54.59,154.85,169.7,1870.89
2011-09-28,86.18,109.95,184.97,260.58,62.41,132.11,120.56,53.82,148.01,168.18,1832.5
2011-09-29,86.06,109.01,186.8,264.23,64.18,133.1,122.29,53.61,148.08,170.8,1847.43
2011-09-30,84.3,105.93,184.62,256.87,61.93,131.4,118.27,52.08,142.61,168.91,1801.3
2011-10-03,82.13,102.89,181.9,248.44,59.12,127.25,114.73,50.91,138.93,165.0,1750.11
2011-10-04,83.75,106.09,183.18,256.27,61.58,128.5,117.69,52.0,144.0,164.23,1789.64
2011-10-05,85.2,108.04,183.6,264.83,62.33,130.59,120.29,53.23,150.07,164.28,1822.27
2011-10-06,86.32,110.45,185.49,269.04,64.34,132.03,122.87,54.13,153.86,166.99,1855.74
2011-10-07,86.04,110.26,186.56,265.76,61.98,131.85,122.3,53.85,151.51,167.68,1840.63
2011-10-10,88.86,114.15,189.47,277.61,65.17,135.16,126.75,55.69,157.82,171.05,1903.43
2011-10-11,88.66,114.48,189.0,277.75,65.13,134.69,127.21,56.04,158.08,169.24,1904.48
2011-10-12,89.85,115.7,190.56,279.89,66.87,134.98,128.84,56.35,159.7,169.0,1923.36
2011-10-13,90.32,115.5,190.35,279.17,65.28,134.9,127.68,56.91,158.86,169.05,1917.74
2011-10-14,92.02,117.5,191.73,289.15,66.2,136.09,129.97,58.12,162.92,170.5,1951.07
2011-10-17,90.57,115.25,189.97,284.26,63.99,133.79,126.48,57.09,157.87,170.06,1913.33
2011-10-18,91.69,117.36,191.43,292.83,67.17,134.85,130.17,57.67,161.71,171.25,1952.4
2011-10-19,90.83,115.66,190.94,290.14,66.02,134.4,128.58,56.4,156.88,171.43,1927.91
2011-10-20,91.04,116.18,191.85,292.06,67.21,134.52,129.41,56.12,158.37,172.41,1936.73
2011-10-21,92.61,119.43,194.86,297.4,68.81,137.03,131.9,56.87,162.41,175.25,1973.19
2011-10-24,93.1,121.11,193.77,300.82,70.31,138.94,134.18,57.97,166.2,174.53,1998.61
2011-10-25,90.9,118.4,191.56,294.79,68.14,136.2,131.49,56.98,162.02,172.34,1958.55
2011-10-26,91.9,117.98,193.27,301.41,69.47,138.16,132.45,57.22,165.16,173.48,1979.2
2011-10-27,93.82,121.1,195.7,313.04,73.76,141.23,138.27,59.01,173.94,177.19,2047.15
2011-10-28,93.44,120.32,195.32,314.52,73.61,141.64,138.23,59.18,175.18,176.08,2047.98
2011-10-31,91.83,118.49,192.83,300.59,70.77,138.91,134.8,58.08,167.84,174.95,1997.32
2011-11-01,89.65,115.84,189.49,291.24,67.43,136.15,130.68,56.43,163.54,171.5,1941.52
2011-11-02,90.59,117.16,191.03,299.56,69.35,137.0,133.04,57.07,167.18,174.35,1972.92
2011-11-03,92.18,118.68,193.38,307.04,70.65,138.62,136.32,58.47,170.63,176.57,2010.26
2011-11-04,91.51,118.27,192.4,306.6,69.66,137.5,135.36,58.15,170.41,175.61,1997.64
2011-11-07,92.34,118.81,193.69,308.81,70.0,139.11,135.6,58.53,171.69,176.72,2010.33
2011-11-08,92.96,120.11,195.69,313.37,71.36,140.52,137.06,59.22,173.63,177.67,2034.77
2011-11-09,90.2,115.76,191.21,300.03,67.47,136.63,131.89,57.07,165.4,173.82,1960.24
2011-11-10,91.2,116.83,192.9,305.29,67.85,138.53,133.28,57.12,167.07,175.01,1977.32
2011-11-11,93.03,119.77,195.08,310.9,69.36,140.87,136.44,58.33,171.01,177.42,2015.87
2011-11-14,92.3,118.95,193.78,307.17,67.96,139.92,135.56,57.96,169.53,175.42,1996.78
2011-11-15,92.88,119.39,194.55,306.7,68.25,140.2,136.34,58.74,169.69,175.72,2006.65
2011-11-16,91.25,117.08,192.94,302.27,66.55,137.73,134.35,57.88,165.71,173.54,1973.71
2011-11-17,90.29,115.13,192.02,295.86,65.16,136.16,131.94,56.59,160.89,172.51,1940.57
2011-11-18,90.15,114.98,192.82,294.44,65.53,135.88,132.44,56.21,161.55,173.61,1939.9
2011-11-21,88.87,113.21,189.85,289.47,63.88,133.27,129.41,55.13,158.91,171.55,1903.79
2011-11-22,88.51,113.15,189.99,286.71,63.29,133.57,128.41,55.05,157.74,169.45,1896.01
2011-11-23,86.58,110.76,187.85,278.4,61.46,131.52,125.48,53.73,153.36,166.85,1854.17
2011-11-25,86.31,110.33,188.22,276.06,61.74,131.02,125.29,53.38,152.71,167.62,1849.39
2011-11-28,88.72,113.72,191.12,285.94,63.56,134.58,129.41,55.26,158.26,169.83,1903.65
2011-11-29,88.88,114.0,193.16,290.36,63.19,135.17,129.38,54.89,158.57,171.72,1908.35
2011-11-30,92.13,117.64,197.82,306.33,67.35,140.21,136.02,57.08,167.94,176.55,1991.2
2011-12-01,92.35,117.68,197.23,304.21,66.71,140.33,135.71,57.41,166.91,176.14,1987.45
2011-12-02,92.93,118.59,196.81,303.95,67.62,138.58,135.58,57.33,165.67,174.31,1987.02
2011-12-05,93.4,119.61,197.6,307.53,69.04,138.83,137.07,58.02,167.36,175.76,2007.53
2011-12-06,93.56,119.36,198.03,307.75,68.99,139.48,137.32,58.0,168.67,176.15,2009.77
2011-12-07,93.75,119.96,198.38,305.61,69.81,140.34,137.08,58.07,168.79,175.74,2014.23
2011-12-08,91.74,117.51,196.38,297.78,67.22,137.88,133.9,57.19,163.72,173.18,1971.68
2011-12-09,93.19,119.39,198.26,304.38,68.76,139.79,136.86,58.1,165.58,175.6,2004.97
2011-12-12,93.06,119.03,196.76,297.22,66.99,138.17,134.41,57.26,161.93,173.93,1975.14
2011-12-13,92.61,116.7,196.18,295.7,66.01,138.06,132.88,56.74,159.17,174.87,1958.25
2011-12-14,91.7,115.4,195.16,287.67,65.81,137.76,131.39,55.76,157.29,173.46,1936.17
2011-12-15,91.74,115.6,197.08,286.99,65.83,139.31,132.32,55.57,158.3,175.82,1942.57
2011-12-16,91.99,115.76,197.23,289.55,66.16,139.33,132.94,55.7,159.43,175.27,1948.84
2011-12-19,90.95,114.35,196.39,284.77,64.62,138.91,131.5,55.1,156.41,173.87,1926.0
2011-12-20,93.15,117.56,200.25,296.02,67.1,141.82,135.98,56.78,162.55,177.57,1983.66
2011-12-21,93.45,117.96,202.45,299.46,67.49,142.86,136.28,55.68,163.04,180.19,1987.55
2011-12-22,94.14,118.31,202.05,302.87,68.88,143.71,137.55,56.23,164.53,180.39,2004.33
2011-12-23,95.15,119.62,203.88,305.31,69.39,144.85,138.81,56.83,166.12,181.64,2022.46
2011-12-27,95.46,119.86,203.8,305.9,68.92,145.01,138.57,56.9,166.11,183.08,2022.64
2011-12-28,94.7,118.43,202.82,300.16,67.84,143.31,136.58,56.31,162.5,182.07,1997.71
2011-12-29,95.7,119.7,204.23,303.64,68.93,144.67,138.3,56.83,164.33,183.52,2019.14
2011-12-30,95.74,119.07,203.08,303.17,68.51,144.23,137.52,56.57,164.27,182.32,2010.56
2012-01-03,97.13,120.18,203.16,311.08,70.39,146.23,140.38,57.53,169.11,179.21,2041.7
2012-01-04,97.16,121.05,202.75,311.53,70.06,145.48,141.07,57.68,170.17,178.24,2042.39
2012-01-05,97.11,121.92,202.39,309.64,71.04,145.81,141.01,57.98,170.74,178.5,2048.4
2012-01-06,96.42,122.14,201.07,307.97,70.64,145.91,140.92,58.04,170.6,177.48,2043.75
2012-01-09,95.85,122.13,201.37,309.72,70.99,146.23,141.98,57.9,170.99,177.81,2048.4
2012-01-10,96.31,122.88,202.11,311.95,72.39,147.51,143.9,58.16,174.03,178.05,2066.62
2012-01-11,96.54,123.03,200.87,307.85,73.1,147.55,144.33,58.28,175.85,177.31,2067.4
2012-01-12,96.88,123.42,200.74,305.26,73.42,147.86,145.59,58.51,178.5,176.97,2072.28
2012-01-13,96.42,123.05,200.54,304.16,72.83,147.27,144.51,58.09,177.38,176.71,2062.03
2012-01-17,96.92,123.62,201.38,306.39,72.26,148.25,145.08,58.48,178.35,176.76,2069.35
2012-01-18,97.5,125.55,201.58,311.01,73.47,149.0,146.48,59.43,180.37,176.71,2092.57
2012-01-19,98.29,126.73,201.96,312.29,74.1,149.02,147.79,59.83,180.36,175.22,2102.95
2012-01-20,96.64,125.76,202.47,312.62,74.62,149.09,147.25,59.98,179.82,175.66,2104.4
2012-01-23,96.29,125.51,202.07,314.69,74.82,148.37,146.86,60.2,179.72,176.13,2105.41
2012-01-24,95.64,125.95,201.18,313.85,74.68,148.47,146.94,60.27,179.77,174.73,2103.29
2012-01-25,95.76,126.77,203.2,317.15,74.87,149.47,148.71,60.86,182.64,177.6,2121.54
2012-01-26,95.29,126.67,202.44,312.95,74.21,148.83,148.42,60.49,182.32,178.14,2109.42
2012-01-27,95.33,126.4,200.88,311.66,74.48,148.86,148.22,60.57,182.51,175.77,2106.13
2012-01-30,95.43,126.18,199.96,310.33,73.73,148.7,147.68,60.77,182.48,174.93,2100.88
2012-01-31,95.38,126.08,199.9,307.7,74.04,148.65,147.08,60.88,182.57,175.68,2099.92
2012-02-01,96.17,126.47,201.4,309.1,75.28,150.21,148.71,61.45,184.49,176.35,2118.91
2012-02-02,96.05,126.36,201.97,310.61,75.64,149.59,148.61,61.6,183.61,175.91,2121.35
2012-02-03,97.56,128.88,202.73,316.31,77.66,150.41,151.15,62.48,186.13,176.4,2152.52
2012-02-06,98.13,128.7,202.74,319.83,77.29,149.79,150.79,62.5,185.25,175.74,2151.64
2012-02-07,98.17,129.23,202.85,321.4,77.22,150.22,150.77,62.69,184.73,176.99,2156.02
2012-02-08,98.4,129.54,202.86,320.01,77.82,150.03,151.16,63.12,185.1,177.02,2161.22
2012-02-09,98.41,129.79,203.76,319.86,77.52,149.38,151.24,63.73,185.35,176.61,2164.43
2012-02-10,97.83,129.17,203.28,316.52,76.74,148.95,149.98,63.3,182.11,176.4,2149.55
2012-02-13,98.57,130.12,203.93,319.12,77.49,149.92,151.73,63.67,182.63,176.02,2164.51
2012-02-14,98.19,130.01,204.67,319.8,76.67,150.41,151.25,63.84,180.35,176.34,2162.71
2012-02-15,98.1,129.37,204.21,319.03,76.22,150.07,149.24,63.45,180.38,175.46,2151.58
2012-02-16,98.58,130.06,205.58,323.11,77.44,151.06,150.55,64.44,183.4,177.45,2175.53
2012-02-17,99.01,131.15,205.64,324.04,77.94,150.5,151.3,64.4,183.71,177.22,2180.68
2012-02-21,99.25,130.75,204.75,326.72,77.85,149.51,151.75,64.68,184.74,176.77,2182.28
2012-02-22,98.65,130.27,204.35,327.37,76.86,149.54,151.62,64.39,184.24,177.09,2175.05
2012-02-23,99.29,130.93,205.27,328.98,77.6,149.62,152.01,64.69,184.48,176.73,2184.64
2012-02-24,99.28,130.85,205.77,330.25,77.26,150.3,151.97,65.04,184.47,177.57,2188.5
2012-02-27,99.39,131.24,205.68,329.26,77.92,150.44,151.91,65.12,184.65,177.25,2191.6
2012-02-28,100.05,132.2,206.37,328.77,78.06,151.2,151.78,65.68,185.02,176.61,2199.2
2012-02-29,100.0,131.92,207.0,325.4,77.7,150.43,150.97,65.36,181.81,176.57,2189.05
2012-03-01,100.51,132.9,206.61,328.38,78.67,151.12,151.42,65.78,183.8,176.95,2202.62
2012-03-02,100.51,132.74,206.7,324.72,78.33,150.85,150.56,65.65,183.21,176.97,2195.54
2012-03-05,100.26,132.65,207.67,323.69,78.0,150.6,149.56,65.02,180.32,177.3,2187.13
2012-03-06,98.99,130.69,205.94,318.41,76.08,148.49,146.19,64.31,176.44,176.45,2153.56
2012-03-07,99.48,131.99,206.22,320.52,77.1,149.04,147.65,64.76,177.08,176.54,2168.87
2012-03-08,100.29,133.37,207.54,322.12,77.86,150.87,149.77,65.48,179.99,177.17,2190.32
2012-03-09,100.49,134.09,208.11,321.67,78.47,151.5,150.05,65.73,180.07,178.01,2198.27
2012-03-12,100.54,133.76,209.24,320.73,78.24,151.4,150.19,65.84,179.0,180.0,2198.73
2012-03-13,102.08,135.82,210.61,324.82,81.31,153.6,153.29,67.19,182.1,180.38,2239.13
2012-03-14,101.52,135.73,210.09,321.58,81.33,153.57,153.05,67.61,181.26,177.83,2236.5
2012-03-15,101.89,136.22,210.54,322.0,82.85,153.85,154.94,67.8,182.63,177.69,2249.87
2012-03-16,101.95,135.73,210.28,325.73,83.09,153.75,154.8,67.81,183.25,177.23,2252.4
2012-03-19,102.56,136.36,210.52,327.65,83.59,153.78,154.94,68.34,184.15,176.34,2261.35
